Sumo__Time	Sumo__Plant__Influent__param__Q	Sumo__Plant__Influent__param__TCOD	Sumo__Plant__Influent__param__TKN	Sumo__Plant__Influent__param__TP	Sumo__Plant__Influent__param__frSPO4_TP	Sumo__Plant__Influent__param__T	Sumo__Plant__Metal1__param__Femass	Sumo__Plant__Primary1__param__fXTSS_sludge	Sumo__Plant__Primary1__param__Qsludge_target
1	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
2	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
3	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
4	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
5	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
6	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
7	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
8	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
9	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
10	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
11	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
12	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
13	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
14	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
15	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
16	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
17	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
18	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
19	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
20	2788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
21	3788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
22	3788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
23	3788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
24	3788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
25	3788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
26	3788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
27	3788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
28	3788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
29	3788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
30	3788864.278	228.7000921	20	2.4292	0.429	10.25	0.0	0.611512189	20000
31	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
32	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
33	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
34	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
35	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
36	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
37	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
38	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
39	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
40	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
41	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
42	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
43	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
44	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
45	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
46	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
47	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
48	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
49	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
50	3788864.278	228.7000921	20	2.4292	0.429	10.25	7577728.556	0.611512189	20000
